po_number,po_date,supplier_id,buyer_id,plant,total_value,currency,status,payment_terms_days,notes
PO-2023-00050,5/10/23,SUP024,BUY03,AUSTIN,4900,USD,Closed,45,Amphenol RF conn
PO-2023-00051,5/13/23,SUP007,BUY01,AUSTIN,11200,USD,Closed,60,Murata high-cap MLCC
PO-2023-00052,5/15/23,SUP015,BUY02,GUADALAJARA,18900,USD,Closed,45,TI sensor ICs
PO-2023-00053,5/18/23,SUP038,BUY03,AUSTIN,3400,USD,Closed,60,Omron switches
PO-2023-00054,5/20/23,SUP008,BUY01,AUSTIN,4800,USD,Closed,60,TDK MLCC alt
PO-2023-00055,5/23/23,SUP023,BUY03,GUADALAJARA,8600,USD,Closed,45,TE automotive grade
PO-2023-00056,5/25/23,SUP017,BUY02,AUSTIN,24500,USD,Closed,60,STM32F4 bulk
PO-2023-00057,5/28/23,SUP029,BUY01,AUSTIN,5200,USD,Closed,30,Coilcraft XAL series
PO-2023-00058,6/1/23,SUP010,BUY01,GUADALAJARA,1800,USD,Closed,45,Yageo RC series
PO-2023-00059,6/3/23,SUP016,BUY02,AUSTIN,9800,USD,Closed,45,ADI ADC/DAC
PO-2023-00060,6/6/23,SUP025,BUY03,AUSTIN,4200,USD,Closed,45,Molex Mini-Fit
PO-2023-00061,6/8/23,SUP012,BUY01,AUSTIN,5100,USD,Closed,45,KEMET polymer
PO-2023-00062,6/10/23,SUP007,BUY01,AUSTIN,9600,USD,Closed,60,Murata GRM series
PO-2023-00063,6/13/23,SUP033,BUY02,GUADALAJARA,3200,USD,Closed,45,Littelfuse SMD
PO-2023-00064,6/15/23,SUP019,BUY02,AUSTIN,8800,USD,Closed,45,Microchip PIC18
PO-2023-00065,6/18/23,SUP024,BUY03,AUSTIN,5600,USD,Closed,45,Amphenol industrial
PO-2023-00066,6/20/23,SUP003,BUY01,GUADALAJARA,7200,USD,Closed,30,Digi-Key Q2 closeout
PO-2023-00067,6/23/23,SUP015,BUY02,AUSTIN,16200,USD,Closed,45,TI interface ICs
PO-2023-00068,6/25/23,SUP028,BUY01,AUSTIN,2800,USD,Closed,45,Wurth WE-CBF
PO-2023-00069,6/28/23,SUP017,BUY02,AUSTIN,19800,USD,Closed,60,STM32 Q2 final
PO-2023-00070,7/2/23,SUP023,BUY03,GUADALAJARA,7400,USD,Closed,45,TE card connectors
PO-2023-00071,7/5/23,SUP009,BUY01,AUSTIN,5200,USD,Closed,60,Samsung high-cap
PO-2023-00072,7/8/23,SUP007,BUY01,AUSTIN,12400,USD,Closed,60,Murata Q3 blanket
PO-2023-00073,7/10/23,SUP011,BUY01,GUADALAJARA,2400,USD,Closed,45,Vishay precision
PO-2023-00074,7/13/23,SUP016,BUY02,AUSTIN,11600,USD,Closed,45,ADI sensor interface
PO-2023-00075,7/15/23,SUP025,BUY03,AUSTIN,6200,USD,Closed,45,Molex automotive
PO-2023-00076,7/18/23,SUP008,BUY01,AUSTIN,6400,USD,Closed,60,TDK Q3 order
PO-2023-00077,7/20/23,SUP019,BUY02,GUADALAJARA,9400,USD,Closed,45,Microchip Q3
PO-2023-00078,7/23/23,SUP033,BUY02,AUSTIN,2200,USD,Closed,45,Circuit protection
PO-2023-00079,7/25/23,SUP003,BUY01,AUSTIN,4800,USD,Closed,30,Spot buy sensors
PO-2023-00080,7/28/23,SUP038,BUY03,AUSTIN,4100,USD,Closed,60,Omron encoders
PO-2023-00081,8/1/23,SUP015,BUY02,GUADALAJARA,21400,USD,Closed,45,TI Q3 main order
PO-2023-00082,8/3/23,SUP007,BUY01,AUSTIN,8200,USD,Closed,60,Murata urgent MLCC
PO-2023-00083,8/6/23,SUP024,BUY03,AUSTIN,4400,USD,Closed,45,Amphenol circular
PO-2023-00084,8/8/23,SUP017,BUY02,AUSTIN,28600,USD,Closed,60,STM32 production surge
PO-2023-00085,8/10/23,SUP012,BUY01,GUADALAJARA,4800,USD,Closed,45,KEMET MLCC alt
PO-2023-00086,8/13/23,SUP029,BUY01,AUSTIN,3800,USD,Closed,30,Coilcraft inductors
PO-2023-00087,8/15/23,SUP023,BUY03,AUSTIN,9200,USD,Closed,45,TE heavy duty
PO-2023-00088,8/18/23,SUP010,BUY01,AUSTIN,1600,USD,Closed,45,Yageo thick film
PO-2023-00089,8/20/23,SUP016,BUY02,GUADALAJARA,14200,USD,Closed,45,ADI instrumentation
PO-2023-00090,8/23/23,SUP025,BUY03,AUSTIN,5800,USD,Closed,45,Molex signal conn
PO-2023-00091,8/25/23,SUP007,BUY01,AUSTIN,10400,USD,Closed,60,Murata GRM21
PO-2023-00092,8/28/23,SUP019,BUY02,AUSTIN,7200,USD,Closed,45,ATTINY bulk
PO-2023-00093,9/1/23,SUP033,BUY02,GUADALAJARA,2900,USD,Closed,45,Littelfuse automotive
PO-2023-00094,9/3/23,SUP008,BUY01,AUSTIN,5600,USD,Closed,60,TDK MLZ series
PO-2023-00095,9/6/23,SUP003,BUY01,AUSTIN,9400,USD,Closed,30,Digi-Key Q3 mixed
PO-2023-00096,9/8/23,SUP015,BUY02,AUSTIN,17800,USD,Closed,45,TI analog Q3 close
PO-2023-00097,9/10/23,SUP024,BUY03,GUADALAJARA,6200,USD,Closed,45,Amphenol D-sub
PO-2023-00098,9/13/23,SUP028,BUY01,AUSTIN,3400,USD,Closed,45,Wurth power inductors
PO-2023-00099,9/15/23,SUP017,BUY02,AUSTIN,22400,USD,Closed,60,STM32G4 new series
PO-2023-00100,9/18/23,SUP011,BUY01,AUSTIN,2800,USD,Closed,45,Vishay CRCW precision
